year	wabun
2000	2410515.168
2001	9839446.586
2002	5925461.19306
2003	2012717.3084252
2004	1243539.0323
2005	6126736.399
2006	1956528.910631
2007	2020810.7807717
2008	3336958.88238
2009	11021889.6645201
2010	5612321.1725
2011	4156820.22976364
2012	490769.697135738
2013	5255703.33065712
2014	2783184.46049076
2015	10475867.0951485
2016	2538707.08935795
2017	1656757.63314281
2018	1566437.60033401
2019	12306707.6919849
2020	NA
2021	9138312.63470589
2022	1594725.90788695
