Year	Zoo.nov_feb.stand	Temp.nov_feb.stand	Zoo.jul_oct.stand	Temp.jul_oct.stand	Zoo.apr_jun.stand	Temp.apr_jun.stand
2000	0.555419471084449	-0.536984245181914	0.93385471741327	1.68072196471615	0.0471890397212262	0.944304861485959
2001	0.492804712455714	0.90431803455644	1.26503450605966	1.49933546232685	1.29199525783022	0.729764966132345
2002	0.97924083627753	0.368416848498613	0.681017459093241	-0.576962558311763	-1.07755948370973	-0.636515442677381
2003	0.511314159180487	0.344134151650367	-1.69173916551301	0.66422610391956	-1.72485298774382	0.649859632937755
2004	0.0109464291940485	-0.520769126422436	0.474221720437249	0.405501407342178	-0.338448149537221	-0.656413420196372
2005	-1.78915285053466	-0.103025238055682	-1.48153273183442	-0.587527324316887	-0.706767837697916	-1.71083976017213
2006	-0.67147737921974	-1.15245609606612	-0.875080920509235	-0.498936032336529	-0.0374375586162639	-1.09655089080991
2007	-1.36904237418322	2.46135714432453	1.08550006029989	0.705856033298797	-0.387873211585562	1.56984309783397
2008	1.0973837879144	-0.771156807111545	1.32035751225427	1.3778835423083	0.449096483095506	1.35850401526288
2009	0.132127209949375	-1.43602855837928	0.576930744578089	0.331616496594135	1.46155350733406	-0.0495080864914988
2010	0.696884298882664	-1.28388926535732	0.57678647966074	0.0647697088978537	-0.262144425503846	0.28488139239942
2011	0.00491166828652278	0.0503151724393738	-1.28855238781764	1.49139008009582	-1.59850270090735	1.2846981551912
2012	-1.72489057269648	1.34431623681721	-1.30244706383349	-0.350500665366423	-0.363500063947648	-1.07437557328954
2013	-1.01544124370414	0.18691307108252	0.742480653206528	0.306384769373893	-1.01753847348309	-1.48038308918487
2014	-0.134832245059734	-0.0513569819255294	-1.27351204993121	0.860744143074473	1.23877038849949	0.895606037636693
2015	-1.46713755419722	1.18545752224232	-0.178498463959376	-0.608302874463505	0.521381940209282	-0.852176297879925
2016	-0.0820290126841269	1.3319234204872	-0.534739010682413	-1.18537553367365	-0.423455841342176	-0.754363360081835
2017	-0.394320983681768	-0.450019800772191	-0.935269835456628	-0.104689599883582	-0.398765455115072	0.935580442427358
2018	-0.0249859363620135	-0.753617740997584	1.22603276000918	-1.31738931618943	0.424672932230942	-0.615534408102045
2019	-0.0360970624908347	-0.878400768290501	0.792664340617105	-0.318630433667822	1.21619888850916	0.136382326400405
2020	0.848029571187247	0.791659121038817	-0.186339928038638	-0.400584390998685	2.06116224066804	1.31623473035936
2021	1.35785921464379	0.169733569206962	-0.482153723931477	-1.75796402179521	0.578606534264691	-0.605402300916774
2022	2.02248585575772	-1.2008396637842	0.554984327878299	-1.68156696094463	-0.95378102317292	-0.573597028265026
